## Per-exon cDNA + c-coord + aa coordinates for DMD Dp427m.
## Source:   Ensembl REST · ENST00000357033 (MANE canonical) · 79 exons
## CDS ref:  NM_004006.3 · 5'UTR 244 nt · CDS 11058 nt (3685 aa incl. stop)
## Baked at: 2026-08-11 15:52:42
exon_num	cdna_start	cdna_end	exon_length	c_start	c_end	aa_start	aa_end
1	1	268	268	-243	24	1	8
2	269	330	62	25	86	9	29
3	331	423	93	87	179	29	60
4	424	501	78	180	257	60	86
5	502	594	93	258	350	86	117
6	595	767	173	351	523	117	175
7	768	886	119	524	642	175	214
8	887	1068	182	643	824	215	275
9	1069	1197	129	825	953	275	318
10	1198	1386	189	954	1142	318	381
11	1387	1568	182	1143	1324	381	442
12	1569	1719	151	1325	1475	442	492
13	1720	1839	120	1476	1595	492	532
14	1840	1941	102	1596	1697	532	566
15	1942	2049	108	1698	1805	566	602
16	2050	2229	180	1806	1985	602	662
17	2230	2405	176	1986	2161	662	721
18	2406	2529	124	2162	2285	721	762
19	2530	2617	88	2286	2373	762	791
20	2618	2859	242	2374	2615	792	872
21	2860	3040	181	2616	2796	872	932
22	3041	3186	146	2797	2942	933	981
23	3187	3399	213	2943	3155	981	1052
24	3400	3513	114	3156	3269	1052	1090
25	3514	3669	156	3270	3425	1090	1142
26	3670	3840	171	3426	3596	1142	1199
27	3841	4023	183	3597	3779	1199	1260
28	4024	4158	135	3780	3914	1260	1305
29	4159	4308	150	3915	4064	1305	1355
30	4309	4470	162	4065	4226	1355	1409
31	4471	4581	111	4227	4337	1409	1446
32	4582	4755	174	4338	4511	1446	1504
33	4756	4911	156	4512	4667	1504	1556
34	4912	5082	171	4668	4838	1556	1613
35	5083	5262	180	4839	5018	1613	1673
36	5263	5391	129	5019	5147	1673	1716
37	5392	5562	171	5148	5318	1716	1773
38	5563	5685	123	5319	5441	1773	1814
39	5686	5823	138	5442	5579	1814	1860
40	5824	5976	153	5580	5732	1860	1911
41	5977	6159	183	5733	5915	1911	1972
42	6160	6354	195	5916	6110	1972	2037
43	6355	6527	173	6111	6283	2037	2095
44	6528	6675	148	6284	6431	2095	2144
45	6676	6851	176	6432	6607	2144	2203
46	6852	6999	148	6608	6755	2203	2252
47	7000	7149	150	6756	6905	2252	2302
48	7150	7335	186	6906	7091	2302	2364
49	7336	7437	102	7092	7193	2364	2398
50	7438	7546	109	7194	7302	2398	2434
51	7547	7779	233	7303	7535	2435	2512
52	7780	7897	118	7536	7653	2512	2551
53	7898	8109	212	7654	7865	2552	2622
54	8110	8264	155	7866	8020	2622	2674
55	8265	8454	190	8021	8210	2674	2737
56	8455	8627	173	8211	8383	2737	2795
57	8628	8784	157	8384	8540	2795	2847
58	8785	8905	121	8541	8661	2847	2887
59	8906	9174	269	8662	8930	2888	2977
60	9175	9321	147	8931	9077	2977	3026
61	9322	9400	79	9078	9156	3026	3052
62	9401	9461	61	9157	9217	3053	3073
63	9462	9523	62	9218	9279	3073	3093
64	9524	9598	75	9280	9354	3094	3118
65	9599	9800	202	9355	9556	3119	3186
66	9801	9886	86	9557	9642	3186	3214
67	9887	10044	158	9643	9800	3215	3267
68	10045	10211	167	9801	9967	3267	3323
69	10212	10323	112	9968	10079	3323	3360
70	10324	10460	137	10080	10216	3360	3406
71	10461	10499	39	10217	10255	3406	3419
72	10500	10565	66	10256	10321	3419	3441
73	10566	10631	66	10322	10387	3441	3463
74	10632	10790	159	10388	10546	3463	3516
75	10791	11034	244	10547	10790	3516	3597
76	11035	11158	124	10791	10914	3597	3638
77	11159	11251	93	10915	11007	3639	3669
78	11252	11283	32	11008	11039	3670	3680
79	11284	13992	2709	11040	13748	3680	4583
