isoform_id	exon	used
Dp427m	1	1
Dp427m	2	1
Dp427m	3	1
Dp427m	4	1
Dp427m	5	1
Dp427m	6	1
Dp427m	7	1
Dp427m	8	1
Dp427m	9	1
Dp427m	10	1
Dp427m	11	1
Dp427m	12	1
Dp427m	13	1
Dp427m	14	1
Dp427m	15	1
Dp427m	16	1
Dp427m	17	1
Dp427m	18	1
Dp427m	19	1
Dp427m	20	1
Dp427m	21	1
Dp427m	22	1
Dp427m	23	1
Dp427m	24	1
Dp427m	25	1
Dp427m	26	1
Dp427m	27	1
Dp427m	28	1
Dp427m	29	1
Dp427m	30	1
Dp427m	31	1
Dp427m	32	1
Dp427m	33	1
Dp427m	34	1
Dp427m	35	1
Dp427m	36	1
Dp427m	37	1
Dp427m	38	1
Dp427m	39	1
Dp427m	40	1
Dp427m	41	1
Dp427m	42	1
Dp427m	43	1
Dp427m	44	1
Dp427m	45	1
Dp427m	46	1
Dp427m	47	1
Dp427m	48	1
Dp427m	49	1
Dp427m	50	1
Dp427m	51	1
Dp427m	52	1
Dp427m	53	1
Dp427m	54	1
Dp427m	55	1
Dp427m	56	1
Dp427m	57	1
Dp427m	58	1
Dp427m	59	1
Dp427m	60	1
Dp427m	61	1
Dp427m	62	1
Dp427m	63	1
Dp427m	64	1
Dp427m	65	1
Dp427m	66	1
Dp427m	67	1
Dp427m	68	1
Dp427m	69	1
Dp427m	70	1
Dp427m	71	1
Dp427m	72	1
Dp427m	73	1
Dp427m	74	1
Dp427m	75	1
Dp427m	76	1
Dp427m	77	1
Dp427m	78	1
Dp427m	79	1
Dp427c	1	1
Dp427c	2	1
Dp427c	3	1
Dp427c	4	1
Dp427c	5	1
Dp427c	6	1
Dp427c	7	1
Dp427c	8	1
Dp427c	9	1
Dp427c	10	1
Dp427c	11	1
Dp427c	12	1
Dp427c	13	1
Dp427c	14	1
Dp427c	15	1
Dp427c	16	1
Dp427c	17	1
Dp427c	18	1
Dp427c	19	1
Dp427c	20	1
Dp427c	21	1
Dp427c	22	1
Dp427c	23	1
Dp427c	24	1
Dp427c	25	1
Dp427c	26	1
Dp427c	27	1
Dp427c	28	1
Dp427c	29	1
Dp427c	30	1
Dp427c	31	1
Dp427c	32	1
Dp427c	33	1
Dp427c	34	1
Dp427c	35	1
Dp427c	36	1
Dp427c	37	1
Dp427c	38	1
Dp427c	39	1
Dp427c	40	1
Dp427c	41	1
Dp427c	42	1
Dp427c	43	1
Dp427c	44	1
Dp427c	45	1
Dp427c	46	1
Dp427c	47	1
Dp427c	48	1
Dp427c	49	1
Dp427c	50	1
Dp427c	51	1
Dp427c	52	1
Dp427c	53	1
Dp427c	54	1
Dp427c	55	1
Dp427c	56	1
Dp427c	57	1
Dp427c	58	1
Dp427c	59	1
Dp427c	60	1
Dp427c	61	1
Dp427c	62	1
Dp427c	63	1
Dp427c	64	1
